"AppData\Roaming\.minecraft", "minecraft"
"AppData\Roaming\AtomZombieData", "AtomZombieData"
"AppData\Roaming\Beat Hazard", "Beat Hazard"
"AppData\Roaming\Broken Rules", "Broken Rules"
"AppData\Roaming\Carbon", "Carbon"
"AppData\Roaming\digipen", "digipen"
"AppData\Roaming\Dynamite Jack", "Dynamite Jack"
"AppData\Roaming\FatShark", "FatShark"
"AppData\Roaming\Faerie Solitaire", "Faerie Solitaire"
"AppData\Roaming\GridRunnerRev", "GridRunnerRev"
"AppData\Roaming\Irukandji", "Irukandji"
"AppData\Roaming\MinMaxGames", "MinMaxGames"
"AppData\Roaming\Nifflas", "Nifflas"
"AppData\Roaming\offspringfling", "offspringfling"
"AppData\Roaming\Scoregasm", "Scoregasm"
"AppData\Roaming\SpaceGiraffe", "SpaceGiraffe"
"AppData\Roaming\StarseedPilgrim", "StarseedPilgrim"
"AppData\Roaming\Voxatron", "Voxatron"
"Documents\Almost Human", "Almost Human"
"Documents\BioWare", "BioWare"
"Documents\Criterion Games", "Criterion Games"
"Documents\Games for Windows - LIVE Demos", "Games for Windows - LIVE Demos"
"Documents\Gaslamp Games", "Gaslamp Games"
"Documents\Guild Wars 2", "Guild Wars 2"
"Documents\ManiaPlanet", "ManiaPlanet"
"Documents\My Games", "My Games"
"Documents\NIGORO", "NIGORO"
"Documents\Overlord", "Overlord"
"Documents\Prince of Persia", "Prince of Persia"
"Documents\SavedGames", "SavedGames"
"Documents\Snapshot", "Snapshot"
"Documents\Square Enix", "Square Enix"
"Documents\Wizards of the Coast", "Wizards of the Coast"
